Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Country Code
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,2.0,P. Lucas,https://openalex.org/A2235407553,school of computer science carnegie mellon university pittsburgh pa usa,US
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,3.0,J.A. Senn,https://openalex.org/A3062879790,school of computer science carnegie mellon university pittsburgh pa usa,US
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,4.0,C.C. Gomberg,https://openalex.org/A2227709310,school of computer science carnegie mellon university pittsburgh pa usa,US
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,5.0,M.B. Burks,https://openalex.org/A2054075848,school of computer science carnegie mellon university pittsburgh pa usa,US
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,6.0,P.J. Stroffolino,https://openalex.org/A3078331431,school of computer science carnegie mellon university pittsburgh pa usa,US
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,7.0,A.J. Kolojechick,https://openalex.org/A2344825963,carnegie mellon university school of computer science pittsburgh united states,US
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,8.0,C. Dunmire,https://openalex.org/A2461256707,school of computer science carnegie mellon university pittsburgh pa usa,US
1999,10.1109/VISUAL.1999.809896,"The ""Parallel Vectors"" operator-a vector field visualization primitive",2.0,1.0,R. Peikert,https://openalex.org/A3147644923,dept of comput sci eth zurich switzerland,CH
1999,10.1109/VISUAL.1999.809896,"The ""Parallel Vectors"" operator-a vector field visualization primitive",2.0,2.0,M. Roth,https://openalex.org/A3144405693,computer graphics research group deptartment of computer science eth zurich switzerland,CH
2000,10.1109/VISUAL.2000.885683,Hardware-accelerated volume and isosurface rendering based on cell-projection,3.0,1.0,S. Rottger,https://openalex.org/A2140801132,visualization and interactive systems group universit t stuttgart germany,DE
2000,10.1109/VISUAL.2000.885683,Hardware-accelerated volume and isosurface rendering based on cell-projection,3.0,2.0,M. Kraus,https://openalex.org/A2626034231,visualization and interactive systems group universit t stuttgart germany,DE
2000,10.1109/VISUAL.2000.885683,Hardware-accelerated volume and isosurface rendering based on cell-projection,3.0,3.0,T. Ertl,https://openalex.org/A2083449707,visualization and interactive systems group universit t stuttgart germany,DE
2004,10.1109/INFVIS.2004.43,Interactive Visualization of Small World Graphs,2.0,1.0,F. van Ham,https://openalex.org/A2107229462,department of mathematics and computer science technische universiteit eindhoven eindhoven netherlands,NL
2004,10.1109/INFVIS.2004.43,Interactive Visualization of Small World Graphs,2.0,2.0,J.J. van Wijk,https://openalex.org/A2317229737,department of mathematics and computer science technische universiteit eindhoven eindhoven netherlands,NL
2003,10.1109/VISUAL.2003.1250400,Using deformations for browsing volumetric data,3.0,1.0,M.J. McGuffin,https://openalex.org/A2017391874,department of computer science university of toronto canada,CA
